STATION,YEAR,PRECIPITATION
HUERF,1992,175.253300330033
HUERF,1993,182.0
HUERF,1994,169.5
HUERF,1995,93.5
HUERF,1996,118.08333333333333
HUERF,1997,122.58333333333333
HUERF,1998,159.16666666666666
HUERF,1999,125.25
HUERF,2000,130.83333333333334
HUERF,2001,96.66666666666667
HUERF,2002,78.41666666666667
HUERF,2003,105.58333333333333
HUERF,2004,125.12670068027211
HUERF,2005,107.83333333333333
HUERF,2006,94.58333333333333
HUERF,2007,107.83333333333333
HUERF,2008,136.25
HUERF,2009,74.91666666666667
HUERF,2010,152.0
HUERF,2011,114.66666666666667
HUERF,2012,93.0
HUERF,2013,92.91666666666667
HUERF,2014,108.41666666666667
HUERF,2015,146.25
HUERF,2016,144.0
HUERF,2017,77.91666666666667
HUERF,2018,177.25
HUERF,2019,160.58333333333334
HUERF,2020,55.416666666666664
HUERF,2021,158.91666666666666
HUERF,2022,137.58333333333334
HUERF,2023,92.25
HUERF,2024,149.84708224474434
HUGHE,1939,81.18636363636364
HUGHE,1940,120.41666666666667
HUGHE,1941,116.5
HUGHE,1942,72.55
HUGHE,1943,88.08333333333333
HUGHE,1944,114.5
HUGHE,1945,96.51666666666667
HUGHE,1946,110.75
HUGHE,1947,57.583333333333336
HUGHE,1948,79.75
HUGHE,1949,80.33333333333333
HUGHE,1950,122.90303030303029
IBP,1971,160.08219143971087
IBP,1972,90.33333333333333
IBP,1973,76.83333333333333
IBP,1974,158.16666666666666
IBP,1975,108.75
IBP,1976,99.91666666666667
IBP,1977,129.66666666666666
IBP,1978,167.41666666666666
IBP,1979,90.33333333333333
IBP,1980,139.41346153846155
IBP,1981,143.75
IBP,1982,127.75
IBP,1983,206.0
IBP,1984,207.75
IBP,1985,134.58333333333334
IBP,1986,114.91666666666667
IBP,1987,153.41666666666666
IBP,1988,157.83333333333334
IBP,1989,91.16666666666667
IBP,1990,174.16666666666666
IBP,1991,125.66666666666667
IBP,1992,173.83333333333334
IBP,1993,110.33333333333333
IBP,1994,148.08333333333334
IBP,1995,79.5
IBP,1996,92.5
IBP,1997,122.33333333333333
IBP,1998,163.33333333333334
IBP,1999,95.91666666666667
IBP,2000,151.0
IBP,2001,111.08333333333333
IBP,2002,94.0
IBP,2003,92.83333333333333
IBP,2004,93.72775263951735
IBP,2005,101.25
IBP,2006,115.83333333333333
IBP,2007,142.41666666666666
IBP,2008,165.66666666666666
IBP,2009,75.5
IBP,2010,160.58333333333334
IBP,2011,127.08333333333333
IBP,2012,125.75
IBP,2013,103.91666666666667
IBP,2014,141.83333333333334
IBP,2015,171.33333333333334
IBP,2016,130.83333333333334
IBP,2017,112.66666666666667
IBP,2018,191.25
IBP,2019,176.0
IBP,2020,65.58333333333333
IBP,2021,177.5
IBP,2022,196.0
IBP,2023,118.08333333333333
IBP,2024,167.5610859728507
JOHNS,1937,115.91666666666667
JOHNS,1938,89.08333333333333
LIMST,1939,87.86847219944235
LIMST,1940,150.16666666666666
LIMST,1941,133.66666666666666
LIMST,1942,90.25537696134711
LIMST,1943,95.66666666666667
LIMST,1944,134.66666666666666
LIMST,1945,110.625
LIMST,1946,127.75
LIMST,1947,62.5
LIMST,1948,94.33333333333333
LIMST,1949,109.31400966183575
LIMST,1950,115.86385342398769
LIMST,1964,138.81334399431412
LIMST,1965,107.66666666666667
